Gene	SRR1791304	SRR1791305	SRR1791306	SRR1791307	SRR1791308	SRR1791309	SRR1791310	SRR1791311	SRR1791312	SRR1791313	SRR1791314	SRR1791315	SRR1791316	SRR1791317	SRR1791318	SRR1791319	SRR1791320	SRR1791321	SRR1791322	SRR1791323	SRR1791324	SRR1791325	SRR1791326	SRR1791327	SRR1791328	SRR1791329	SRR1791330	SRR1791331	SRR1791332	SRR1791333	SRR1791334	SRR1791335	SRR1791336	SRR1791337	SRR1791338	SRR1791339	SRR1791340	SRR1791341	SRR1791342	SRR1791343	SRR1791344	SRR1791345	SRR1791346	SRR1791347	SRR1791348	SRR1791349	SRR1791350	SRR1791351	SRR1791352	SRR1791353	SRR1791354	SRR1791355	SRR1791356	SRR1791357	SRR1791358	SRR1791359	SRR1791360	SRR1791361	SRR1791362	SRR1791363	SRR1791364	SRR1791365	SRR1791366	SRR1791367	SRR1791368	SRR1791369	SRR1791370	SRR1791371	SRR1791372	SRR1791373	SRR1791374	SRR1791375
RMRP	0.671988469	83.79380416	0.848471494	7.875973818	83.18218241	0.619404769	95.3061902	0.632181424	0.752070672	0.395561036	130.1302438	0.63584691	0.112802174	1.137211944	5.615904333	0.385265364	69.89845336	0.527742414	0.898696101	109.7341717	93.350168	0.593064114	142.9399111	136.1598322	42.00010278	101.2794499	3.27305688	91.1542839	2.788218507	35.63155044	0.809418122	109.7341717	98.86889748	0.290987185	123.7948406	60.72778392	123.7948406	3.035232357	42.17382219	82.57739977	72.91553345	0.26316177	31.1104262	56.59082146	0.970664359	62.48729287	3.725032838	133.1226183	0.325336249	1.007646347	0.442190903	97.29032593	2.919383741	0.724619665	121.4735599	4.700195451	0.767637671	28.31865929	0.086335828	4.209266726	0.705100516	133.1226183	95.3061902	0.563459667	0.823198768	0.587667636	2.803668105	0.366531832	5.773321355	29.80275239	2.39793281	0.774095216
DBET	56.36894843	66.41171059	89.98781202	93.99512548	48.76610904	28.36622273	95.97140842	5.464592969	89.46226446	32.20816953	85.53755268	63.26971993	50.23191205	28.13498082	30.20803886	21.50810702	104.4810051	11.76343496	4.029202263	136.1598322	72.53764926	29.05791773	76.8202164	102.294477	98.86889748	61.29338903	33.82192486	66.41171059	47.42802113	89.46226446	54.66942814	89.46226446	51.77757969	20.3450795	78.17907366	64.12844392	92.5990798	4.384613673	71.02682344	66.71913298	100.4162659	53.58073176	94.64097198	119.0866716	46.74653547	81.97944739	33.28529037	83.79380416	13.37489363	95.97140842	100.4162659	93.350168	54.49556113	72.53764926	43.52008588	38.33814808	33.76328369	102.294477	6.143884283	128.7457936	121.4735599	83.79380416	71.7688142	5.403145635	6.042644114	3.117683184	5.889331443	5.722221865	45.68669357	96.63122788	6.660150417	4.218240636
H2BC18	0.137931725	42.26925647	0.172981528	0.935253085	37.22288045	5.755348922	50.53056028	0.129175658	3.201651081	0.065681422	73.29341763	1.409831142	0.81884277	4.082190715	0.118313079	1.119597698	19.4018028	1.100714313	4.257030082	39.28872658	43.06357026	2.131276263	75.97750452	95.3061902	10.02225161	49.77525303	1.255223584	45.44211762	4.911205092	8.562106949	1.86624018	73.29341763	75.55432378	3.304610502	68.0425535	22.32770812	65.24739685	0.165768019	16.51941547	48.4563329	29.5028861	1.897404863	13.88290744	28.13498082	0.194700439	36.29311441	2.178450625	84.97077371	0.870623934	1.256896432	3.048524641	60.07111732	1.003045975	0.148812716	80.72398024	5.582520854	2.602802904	10.46738459	1.780479572	3.086489008	0.817341405	75.97750452	41.30357743	1.493368283	0.168660919	1.610790267	2.598274546	1.026141115	0.137894118	10.09018169	2.936905523	1.750744392
H4C5	0.994578572	21.71522055	2.019776574	0.151222689	25.3147739	4.991588077	13.99510761	1.916258307	0.154782637	1.228493163	31.21660615	1.255952306	1.208818309	4.508789809	0.673069726	1.496078693	10.41917232	2.765514238	4.843318255	22.2115547	23.53137675	3.882457847	35.55385852	41.18864555	5.997049232	15.0215872	2.048868928	19.76758508	2.094282767	5.12111707	3.856792239	36.97417134	31.00678235	3.505146299	45.68669357	8.163777497	29.70243288	3.031265455	9.640036749	14.89547458	12.97822397	1.221338625	7.144295662	11.15331824	2.868635119	10.39425826	1.937468319	43.06357026	1.590591347	2.391307312	4.67383329	27.46750099	1.4458867	0.148812716	36.45214595	3.204349448	2.083581219	4.100545742	1.327549939	1.556115451	0.145106705	29.31758111	24.72255483	1.188882252	0.168660919	1.02811122	1.82187538	1.487117092	1.099737096	6.781743536	2.293358965	4.30306289
LSM8	36.00284503	9.542102064	44.32979467	33.28529037	11.00598526	2.458645153	16.48668977	1.392268949	44.95707793	14.7744698	7.708257255	24.12237667	20.43587764	2.730791515	3.959351239	4.147776134	13.02639107	1.633931612	1.984893172	14.81089204	7.288839299	4.004136537	7.316505304	15.08861092	17.1545621	12.01369977	4.397271214	9.425471157	7.445820417	13.08866534	7.56880724	15.9123122	6.416855925	3.48061032	13.00616518	7.533076841	28.92003117	1.679850564	15.66661896	16.16571427	18.52452673	6.722279443	20.63608985	14.53253711	8.243116037	12.37269818	9.309157961	8.021826003	3.220379926	38.50345215	6.146430697	10.80637135	4.176979802	29.45640494	7.67859453	4.44938198	4.262596701	16.45303205	1.861234167	71.02682344	55.44771485	11.18632721	14.26471568	1.812640553	2.477774563	3.149594482	1.860848342	1.416203682	31.32220078	46.13364305	2.08989594	3.648269335
H4C8	0.927548652	38.42081868	2.494694936	1.190039041	46.37123757	4.968120254	31.16340127	0.988596612	7.387188027	0.685695569	52.51194895	1.217466163	0.887246168	11.00598526	0.947073217	0.727478411	17.76738063	2.238441683	10.41917232	42.95829485	43.52008588	1.862585709	44.81745682	68.62447254	7.345976475	36.52315023	2.064791244	34.15538401	0.525322286	6.131255991	3.191193194	45.32256838	43.7390441	3.869142962	68.90554467	14.43411762	13.65189544	0.866072669	15.44299107	16.94852499	25.2260553	0.61314566	19.83711442	11.25831958	4.312650545	18.49127844	1.079183914	75.09413781	0.550495769	1.022242875	3.692854894	35.85573014	0.81753036	0.729702303	63.00945454	4.337741558	3.369454628	6.884763555	1.125611921	1.444205005	3.023853156	34.99958097	30.25424057	1.921051886	1.197327934	1.122862643	2.552713247	2.371376382	0.844281288	8.074053301	4.87545356	1.866439699
FSTL1	22.3051569	34.09839136	0.858165039	0.744731006	11.69178323	2.776127184	34.0428922	0.807371977	28.09323217	2.744839393	87.80554251	0.663143608	3.302177207	5.114602096	0.118313079	2.741164877	15.94470417	5.501182979	2.251270571	55.056275	31.4747925	9.677622937	52.68766845	76.39951803	3.930308676	29.18875855	1.032305648	19.60405056	6.759802057	9.102981577	0.819125681	83.79380416	71.02682344	8.851437288	30.4007765	12.595737	38.59039142	1.67388478	10.18147929	20.09492337	11.86013161	4.170286476	8.028644282	11.95455322	1.641108399	25.66237743	5.998334628	86.05636819	2.238441683	5.245878462	7.748343701	22.4194251	2.490544863	0.731149323	95.97140842	7.755293997	2.481034619	3.194318966	2.012096657	14.19626618	0.714485116	43.17083152	26.2926507	1.533061086	4.425761245	1.534206284	1.168676702	1.255367564	0.681943716	8.781908396	0.786868334	6.058581436
BCYRN1	2.17867042	59.11642882	0.172981528	0.953517467	46.02184255	5.739831239	54.49556113	1.832418941	2.206905677	1.120070097	89.46226446	0.651470203	2.198918614	21.71522055	1.173834578	1.943503328	31.93101841	1.278785695	5.977028971	51.09491694	38.67940204	4.634784616	78.17907366	95.97140842	17.23384841	87.19105246	0.123103054	61.01058647	1.530495649	12.2823993	1.876167298	81.36642969	65.24739685	4.657173004	72.15363852	19.48686137	99.6529925	1.929729788	21.44439081	31.64800975	26.22245527	2.608143457	27.30192688	20.09492337	0.194700439	28.66227754	1.542782335	92.5990798	1.150120488	2.393630736	4.116074346	52.68766845	1.33869845	2.075637283	75.55432378	3.760750279	2.622002839	10.4970732	0.712057133	0.217296125	0.95016345	80.72398024	49.07071777	3.236917344	0.168660919	3.854225403	1.72862879	1.695911696	2.03325068	11.76343496	1.978145738	1.592855714
LGR4-AS1	38.85471003	6.620891716	58.04423714	44.32979467	11.31626732	2.168836848	19.55430759	1.309608848	56.36894843	16.24583696	8.127291098	29.5497514	26.43301214	2.870317482	4.380474087	3.663732051	16.76269372	1.003944012	1.697422507	14.45993404	7.578849325	3.055557552	7.620230697	17.19491349	20.01657549	12.45800641	3.288252677	10.41115092	9.001745701	14.56815268	5.309210454	17.23384841	7.6101402	2.603103049	12.83709393	9.677622937	36.45214595	1.868601702	17.08873735	15.64512874	21.46500544	4.437657056	22.6931136	16.64032662	6.791163051	12.43495907	7.090289779	7.042439034	3.081998871	51.5884203	5.849492533	10.12136021	2.955463478	38.08946096	6.016785927	4.058928793	3.546801176	18.2867264	0.911070453	84.97077371	76.8202164	12.81836883	13.92217756	1.59626964	2.287465507	1.55807948	2.155034951	0.731833587	34.9286878	44.32979467	1.196307712	1.7615176
PNPLA3	17.39747083	4.897901853	20.82190825	18.80938977	6.508456684	1.351453191	8.310795198	1.17294632	26.08333532	8.054683644	4.335146781	11.71140988	9.509888799	1.753676534	2.531195492	1.847366306	7.683094562	0.71934147	1.131690944	6.699045761	3.816101769	2.213976732	3.279616226	6.850729318	11.31626732	13.75560311	1.623992707	5.731275001	3.147335568	7.968760935	2.583378754	6.302087219	4.510208387	1.468749427	6.152572743	4.334464379	13.60427439	1.514392752	9.444497027	6.824932607	7.839205066	2.80911077	13.84787087	9.197692164	3.25666407	6.46667707	3.808939884	5.749581361	1.532890795	25.01363267	2.166069496	3.124989348	1.473660656	14.22094629	5.260759223	1.879164612	1.954706923	9.772702623	0.854249773	50.07791226	28.36622273	5.52540593	8.420996649	0.76684354	1.311671029	1.006041009	1.347932101	0.567174319	16.86097999	28.83472997	0.75686606	0.851154839
