Sample,Consensus5000,Hclust5000,KMeans5000,PAM5000,Results
S1,2,2,1,1,1
S2,1,8,2,2,1
S3,3,4,1,1,1
S4,3,4,1,1,1
S5,1,5,2,2,1
S6,1,8,2,2,1
S7,1,3,2,2,1
S8,2,4,1,1,1
S9,2,2,1,1,1
S10,2,2,1,1,1
S11,1,1,2,2,1
S12,2,2,1,1,1
S13,2,2,1,1,1
S14,1,8,2,2,1
S15,2,2,1,1,1
S16,2,2,1,1,1
S17,1,3,1,2,1
S18,2,4,1,1,1
S19,1,8,2,2,1
S20,1,7,2,2,1
S21,1,3,2,2,1
S22,2,4,1,1,1
S23,1,7,2,2,1
S24,1,1,2,2,1
S25,3,4,1,1,1
S26,1,8,2,2,1
S27,2,4,1,1,1
S28,1,3,2,2,1
S29,2,4,1,1,1
S30,3,3,1,1,1
S31,2,4,1,1,1
S32,1,1,2,2,1
S33,1,1,2,2,1
S34,2,5,1,1,1
S35,1,1,2,2,1
S36,1,3,1,1,1
S37,1,1,2,2,1
S38,2,4,1,1,1
S39,3,3,1,1,1
S40,1,8,2,2,1
S41,3,3,1,1,1
S42,2,6,1,1,1
S43,2,5,1,2,1
S44,3,3,1,1,1
S45,2,4,1,1,1
S46,1,3,2,2,1
S47,2,6,1,1,1
S48,1,1,2,2,1
S49,2,2,1,1,1
S50,3,3,1,1,1
S51,2,6,1,2,1
S52,1,8,2,2,1
S53,2,2,1,1,1
S54,2,2,1,1,1
S55,1,1,2,2,1
S56,1,8,2,2,1
S57,2,4,1,1,1
S58,3,3,1,1,1
S59,2,4,1,1,1
S60,3,4,1,1,1
S61,2,2,1,1,1
S62,1,8,2,2,1
S63,1,7,2,2,1
H1,2,2,1,1,2
H2,2,4,1,1,2
H3,2,2,1,1,2
H4,2,4,1,1,2
H5,2,2,1,1,2
S64,2,2,1,1,1
S65,2,5,1,1,1
S66,2,2,1,1,1
S67,2,4,1,1,1
