Sample,Consensus-10,Consensus-100,Consensus-1000,Consensus-5000,Consensus-10000
S1,1,2,2,2,2
S2,2,1,1,1,1
S3,1,3,3,3,3
S4,1,3,3,3,3
S5,2,1,1,1,1
S6,2,1,1,1,1
S7,3,1,1,1,1
S8,2,2,2,2,2
S9,1,2,2,2,2
S10,1,2,2,2,2
S11,2,1,1,1,1
S12,1,2,2,2,2
S13,1,2,2,2,2
S14,2,1,1,1,1
S15,1,2,2,2,2
S16,1,2,2,2,2
S17,3,1,1,1,1
S18,1,2,2,2,2
S19,2,1,1,1,1
S20,3,1,1,1,1
S21,2,1,1,1,1
S22,2,2,2,2,2
S23,2,1,1,1,1
S24,2,1,1,1,1
S25,1,3,3,3,3
S26,2,1,1,1,1
S27,1,2,2,2,2
S28,2,1,1,1,1
S29,1,2,2,2,2
S30,1,3,3,3,3
S31,1,2,2,2,2
S32,2,1,1,1,1
S33,2,1,1,1,1
S34,2,1,1,2,2
S35,2,1,1,1,1
S36,2,3,3,1,1
S37,2,1,1,1,1
S38,3,2,2,2,2
S39,3,3,3,3,3
S40,2,1,1,1,1
S41,1,3,3,3,3
S42,1,2,2,2,2
S43,1,1,2,2,2
S44,2,3,3,3,3
S45,1,2,2,2,2
S46,2,1,1,1,1
S47,1,2,2,2,2
S48,2,1,1,1,1
S49,1,2,2,2,2
S50,1,3,3,3,3
S51,1,1,2,2,2
S52,2,1,1,1,1
S53,1,2,2,2,2
S54,1,2,2,2,2
S55,2,1,1,1,1
S56,2,1,1,1,1
S57,2,2,2,2,2
S58,1,3,3,3,3
S59,3,2,2,2,2
S60,1,3,3,3,3
S61,1,2,2,2,2
S62,2,1,1,1,1
S63,2,1,1,1,1
H1,2,2,2,2,2
H2,1,2,2,2,2
H3,1,2,2,2,2
H4,1,1,2,2,2
H5,2,2,2,2,2
S64,1,2,2,2,2
S65,1,2,2,2,2
S66,2,2,2,2,2
S67,2,2,2,2,2
