Sample,KMeans10,KMeans100,KMeans1000,KMeans5000,KMeans10000
S1,1,1,1,1,1
S2,2,2,2,2,2
S3,1,1,1,1,1
S4,1,1,1,1,1
S5,2,2,2,2,2
S6,2,2,2,2,2
S7,2,2,2,2,2
S8,1,1,1,1,1
S9,1,1,1,1,1
S10,1,1,1,1,1
S11,2,2,2,2,2
S12,1,1,1,1,1
S13,2,1,1,1,1
S14,2,2,2,2,2
S15,1,1,1,1,1
S16,1,1,1,1,1
S17,2,1,1,1,1
S18,1,1,1,1,1
S19,2,2,2,2,2
S20,2,2,2,2,2
S21,2,2,2,2,2
S22,1,1,1,1,1
S23,2,2,2,2,2
S24,2,2,2,2,2
S25,1,1,1,1,1
S26,2,2,2,2,2
S27,1,1,1,1,1
S28,2,2,2,2,2
S29,1,1,1,1,1
S30,1,1,1,1,1
S31,1,1,1,1,1
S32,2,2,2,2,2
S33,2,2,2,2,2
S34,1,1,1,1,1
S35,2,2,2,2,2
S36,2,1,1,1,1
S37,2,2,2,2,2
S38,1,1,1,1,1
S39,1,1,1,1,1
S40,2,2,2,2,2
S41,2,1,1,1,1
S42,1,1,1,1,1
S43,1,1,1,1,1
S44,2,1,1,1,1
S45,1,1,1,1,1
S46,2,2,2,2,2
S47,1,1,1,1,1
S48,2,2,2,2,2
S49,1,1,1,1,1
S50,1,1,1,1,1
S51,1,1,1,1,1
S52,2,2,2,2,2
S53,1,1,1,1,1
S54,1,1,1,1,1
S55,2,2,2,2,2
S56,2,2,2,2,2
S57,1,1,1,1,1
S58,1,1,1,1,1
S59,1,1,1,1,1
S60,1,1,1,1,1
S61,1,1,1,1,1
S62,2,2,2,2,2
S63,2,2,2,2,2
H1,1,1,1,1,1
H2,1,1,1,1,1
H3,1,1,1,1,1
H4,2,1,1,1,1
H5,1,1,1,1,1
S64,1,1,1,1,1
S65,1,1,1,1,1
S66,1,1,1,1,1
S67,2,1,1,1,1
