Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
RMRP	41.16776236202322	4.411016909035731	1.7052777473808194	3.392670854693005e-5	0.009665719265020372	TRUE
DBET	59.805984053416395	3.519803494321624	0.5522874109751529	3.237260684559924e-12	9.222955690311224e-9	TRUE
H2BC18	22.505066134077236	3.1167566282038868	1.899333945671624	3.553921644841899e-4	0.03375040922051523	TRUE
H2BC15	3.510522318921933	3.0565889972931144	1.4945337878671394	5.352206712268833e-4	NA	NA
H4C5	11.120741240759875	2.8394053243011323	1.317162908169218	4.1159136968949364e-4	0.035500788734035324	TRUE
LGR4-AS1	15.387007176395878	2.819679851578208	0.8743761812606993	2.616567910919224e-5	0.009087530200226207	TRUE
FSTL1	18.97869148630968	2.6870394507043343	1.2654643878846923	2.5003336933823424e-4	0.02982526572762843	TRUE
BCYRN1	25.342706130483304	2.6843785367342488	1.8319267236127172	4.582055820482986e-4	0.035500788734035324	TRUE
NUDT5	2.6929791955508415	2.6131345476851355	1.3902220986192615	9.170646965018773e-4	NA	NA
H4C8	16.727003180667367	2.5494600536633154	1.3886018171064085	4.4119045235924993e-4	0.035500788734035324	TRUE
LSM8	13.659003187839257	2.542792739749882	0.7784156941112174	2.87075366100512e-5	0.009087530200226207	TRUE
PNPLA3	7.523517147614671	2.523629136088819	0.9289441971636245	2.7642176967831333e-4	0.030289446992827488	TRUE
ANKRD34A	16.927189277250708	2.5137385211405334	0.5693088168745648	4.3336952734423805e-7	6.173348917018671e-4	TRUE
COTL1	16.836443654714227	2.379588519766208	1.722734474091364	7.435654980387579e-4	0.045998884907521465	TRUE
HEATR3	29.784784402082774	2.3743999662203557	0.6579408719702861	4.772825453508785e-6	0.0031107487385190666	TRUE
GREM1	22.464812251173147	2.3550657962683847	1.3797787352273103	4.629609604725568e-4	0.035500788734035324	TRUE
CAPG	2.2321198320804183	2.350997096574907	1.281924180695052	0.0011695267608443564	NA	NA
CRIM1	8.910737750486193	2.296550231292199	1.6302351980705208	0.0014122123339351494	0.06096049908153395	FALSE
RPPH1	29.93990881760419	2.2295921974720994	0.9898901327809057	1.88005372670556e-4	0.0267813653369207	TRUE
MYBL2	11.669898316640896	2.1446457183701337	1.4147438349777746	0.0010152844516454727	0.050477886086867624	FALSE
CLIC4	8.739191470146807	2.1254775594489206	1.3804728214468447	0.0013471553143602527	0.05960862304487681	FALSE
ANKRD30B	29.108215271004386	2.1223859037196804	0.6476056399929203	1.6038541686447225e-5	0.007484980139323461	TRUE
EGFR	3.7136262869193772	2.101601025594963	0.922839131319715	0.002306446825546928	NA	NA
TUBA1B	43.543121361225566	2.0729265733985835	1.3510781020050038	5.205937088326639e-4	0.03803003785805793	TRUE
KLF15	5.783333421467748	2.0524930208427223	0.6322883225032936	1.4693618930135008e-4	NA	NA
TMSB10	32.5741082561414	2.031546831383312	1.3192186541883342	5.743892154764402e-4	0.03991304572908239	TRUE
ACTG1	58.56502707934173	1.9756163040696062	1.0380106326825953	3.2617894294256127e-4	0.03237165806498669	TRUE
VIM	9.688298608579759	1.9611416043656555	1.5858357904567526	0.0015899076963417384	0.06422160315248213	FALSE
SLC38A2	11.771104896196091	1.940317042229239	2.0736250359903794	0.0015255149927758678	0.06298829296258619	FALSE
PGAM1	6.662403534729868	1.797072372529595	1.1823801114608434	0.0021115013411783148	NA	NA
MT-ND3	28.34411344870907	1.7935671147529157	0.77761360484906	2.3167401504604602e-4	0.02982526572762843	TRUE
CCND2	2.2979978565391557	1.781465169911158	1.0007029281188713	0.004719763745551237	NA	NA
CFL2	3.4874607646599602	1.7637355752106036	1.1289555873416004	0.005573368239332967	NA	NA
HSPA8	35.84793353048444	1.7534914446719576	1.279240071538836	8.120560084350925e-4	0.04819890766732455	TRUE
MT-CYB	66.57482866176217	1.7279574088520513	0.6337710225119441	7.089046511788321e-5	0.016830577926737436	TRUE
MT-ND4L	35.64869096664596	1.7054068800168618	0.8117439899352533	3.295114369549364e-4	0.03237165806498669	TRUE
TUBB	21.353395802777094	1.6910306557736017	2.830110018156438	0.001267087314751214	0.05917920917583949	FALSE
FASTK	33.751472204123324	1.670448157745246	0.588279058319078	6.801546756303155e-5	0.016830577926737436	TRUE
PRKCA	4.181254712677864	1.6336872604788137	0.7597290436256208	0.0022628684655497324	NA	NA
CTSC	12.335108256760112	1.631783097944807	1.4640574752108895	0.0016730710153056078	0.06488385534736807	FALSE
IER5	3.102876552435707	1.6267733710291763	1.0407655164661112	0.006977498662726453	NA	NA
NEAT1	8.928817681435325	1.6123606585311352	1.0369871670673299	0.001651901524895839	0.06488385534736807	FALSE
