refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR1791304	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791305	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791306	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791307	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791308	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791309	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791310	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791311	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791312	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791313	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791314	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791315	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791316	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791317	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791318	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791319	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791320	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791321	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791322	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791323	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791324	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791325	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791326	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791327	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791328	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791329	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791330	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791331	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791332	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791333	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791334	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791335	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791336	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791337	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791338	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791339	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791340	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791341	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791342	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791343	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791344	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791345	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791346	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791347	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791348	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791349	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
